============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
160070        BOWLER        Shaheen Afridi            BOWL_START
160074        BOWLER        Shaheen Afridi            BOWL_END
160075        STRIKER       Axar Patel                BAT_START
160091        FIELDER       Mohammad Wasim Jr.        CATCH
160100        NON_STRIKER   Mohammed Siraj            RUN_START
160092        STRIKER       Axar Patel                BAT_END
160103        STRIKER       Axar Patel                RUN_START
163044        NON_STRIKER   Mohammed Siraj            RUN_END
163552        STRIKER       Axar Patel                RUN_END
163596        BOWLER        Shaheen Afridi            BOWL_START
163601        BOWLER        Shaheen Afridi            BOWL_END
163604        STRIKER       Axar Patel                BAT_START
163627        STRIKER       Axar Patel                BAT_END
163628        STRIKER       Axar Patel                RUN_START
163628        FIELDER       Mohammad Wasim Jr.        CATCH
163675        NON_STRIKER   Mohammed Siraj            RUN_START
166362        STRIKER       Axar Patel                RUN_END
167407        NON_STRIKER   Mohammed Siraj            RUN_END
167547        BOWLER        Shaheen Afridi            BOWL_START
167566        BOWLER        Shaheen Afridi            BOWL_END
167567        STRIKER       Mohammed Siraj            BAT_START
167577        STRIKER       Mohammed Siraj            BAT_END
167578        STRIKER       Mohammed Siraj            RUN_START
167579        FIELDER       Naseem Shah               CATCH
167581        NON_STRIKER   Axar Patel                RUN_START
168968        STRIKER       Mohammed Siraj            RUN_END
170622        NON_STRIKER   Axar Patel                RUN_END
170707        BOWLER        Shaheen Afridi            BOWL_START
170708        BOWLER        Shaheen Afridi            BOWL_END
170708        STRIKER       Jasprit Bumrah            BAT_START
170709        STRIKER       Jasprit Bumrah            BAT_END
170709        STRIKER       Jasprit Bumrah            RUN_START
170710        FIELDER       Iftikhar Ahmed            CATCH
170712        NON_STRIKER   Axar Patel                RUN_START
